size;batch_size;total_loading_time;total_computing_time;total_time
0;1;16;0.24281525611877441;0.38023948669433594;0.6230547428131104
0;1;16;0.21849679946899414;0.3836550712585449;0.6021518707275391
0;1;16;0.17917442321777344;0.38811564445495605;0.5672900676727295
1;2;16;0.10585188865661621;0.3705406188964844;0.4763925075531006
0;2;16;0.10165834426879883;0.375307559967041;0.47696590423583984
0;2;16;0.09953999519348145;0.369368314743042;0.46890830993652344
1;2;16;0.06514811515808105;0.3770878314971924;0.44223594665527344
1;2;16;0.06453251838684082;0.3737924098968506;0.4383249282836914
0;2;16;0.06430673599243164;0.3724837303161621;0.43679046630859375
2;3;16;0.06898951530456543;0.37494874000549316;0.4439382553100586
0;3;16;0.06846380233764648;0.36473870277404785;0.43320250511169434
1;3;16;0.06946516036987305;0.36846470832824707;0.4379298686981201
1;3;16;0.06866574287414551;0.3638296127319336;0.4324953556060791
2;3;16;0.06980419158935547;0.367229700088501;0.43703389167785645
0;3;16;0.06741833686828613;0.3561403751373291;0.42355871200561523
1;3;16;0.0662837028503418;0.37460827827453613;0.44089198112487793
2;3;16;0.06672263145446777;0.37039995193481445;0.4371225833892822
0;3;16;0.06448101997375488;0.34893321990966797;0.41341423988342285
3;4;16;0.06879711151123047;0.3863403797149658;0.4551374912261963
0;4;16;0.06776905059814453;0.37596774101257324;0.4437367916107178
2;4;16;0.06807208061218262;0.3813791275024414;0.449451208114624
1;4;16;0.07004714012145996;0.3661656379699707;0.43621277809143066
2;4;16;0.06610941886901855;0.35725855827331543;0.423367977142334
0;4;16;0.07254505157470703;0.37116098403930664;0.44370603561401367
1;4;16;0.06567811965942383;0.36399269104003906;0.4296708106994629
3;4;16;0.07412552833557129;0.3688778877258301;0.44300341606140137
1;4;16;0.06628894805908203;0.38509607315063477;0.4513850212097168
0;4;16;0.07323098182678223;0.3671090602874756;0.4403400421142578
3;4;16;0.07405829429626465;0.36217522621154785;0.4362335205078125
2;4;16;0.06625866889953613;0.36497020721435547;0.4312288761138916
3;4;64;0.07836651802062988;0.39400768280029297;0.47237420082092285
1;4;64;0.08045029640197754;0.40850329399108887;0.4889535903930664
